id,abbr,description,first_appearance,flag,name,num_appearances,gold_2014,silver_2014,bronze_2014,gold_total,silver_total,bronze_total,medal_total,medals_2014
morocco,MAR,"Alpine skier Samir Azzimani was Morocco's sole representative in Vancouver in 2010, four years after injury ruled him out of competing at the 2006 Olympic Winter Games in Turin.He was Morocco's first participant at the Olympic Winter Games since 1992.",1968,http://gtcdn.sochi2014.com/flag/large/mar.png,Morocco,6,0,0,0,,,,,0
nepal,NPL,"Jayaram Khadka was Nepal's first representative at the Olympic Winter Games, competing in cross-country skiing in Salt Lake City in 2002.",2002,http://gtcdn.sochi2014.com/flag/large/nep.png,Nepal,4,0,0,0,,,,,0
netherlands,NLD,"After sending just two speed skaters and five bobsleigh athletes to its first Olympic Winter Games, the Netherlands had to wait until 1952 to win its first medals - three speed skating silvers. Twelve years later at Innsbruck, figure skater Sjoukje Dijkstra won the first Dutch gold medal, having taken home silver at the 1960 Squaw Valley Games.",1928,http://gtcdn.sochi2014.com/flag/large/ned.png,Netherlands,20,6,6,8,29.0,31.0,26.0,86.0,20
new_zealand,NZL,"Alpine skier Annelise Coberger won New Zealand's first winter Olympic medal, and the first for the southern hemisphere, at the 1992 Albertville Games when she finished second in the women's slalom.",1952,http://gtcdn.sochi2014.com/flag/large/nzl.png,New Zealand,15,0,0,0,0.0,1.0,0.0,1.0,0
norway,NOR,"Norway is the most successful nation in winter Olympic history, both in terms of total medals won and gold medals won.",1924,http://gtcdn.sochi2014.com/flag/large/nor.png,Norway,22,9,4,7,107.0,108.0,91.0,306.0,20
pakistan,PAK,"Pakistan made its winter Olympic debut at the 2010 Games in Vancouver. Skier Muhammad Abbas was their sole competitor at the Games, where he finished 79th in the giant slalom.",2010,http://gtcdn.sochi2014.com/flag/large/pak.png,Pakistan,2,0,0,0,,,,,0
paraguay,PRY,Paraguay is making its Olympic Winter Games debut in Sochi,2014,http://gtcdn.sochi2014.com/flag/large/par.png,Paraguay,1,0,0,0,,,,,0
peru,PER,"Peru made its first appearance at the Olympic Winter Games in Vancouver in 2010. Cross-country skier Roberto Carcelen competed in the 15km freestyle event, finishing 94th.",2010,http://gtcdn.sochi2014.com/flag/large/per.png,Peru,2,0,0,0,,,,,0
philippines,PHL,"The Philippines participated in the Olympic Winter Games for the first time in Sapporo in 1972, with two athletes competing in alpine skiing.",1972,http://gtcdn.sochi2014.com/flag/large/phi.png,Philippines,4,0,0,0,,,,,0
poland,POL,Poland is one of 12 nations to have competed at every edition of the Olympic Winter Games.,1924,http://gtcdn.sochi2014.com/flag/large/pol.png,Poland,22,4,0,0,2.0,6.0,6.0,14.0,4
portugal,PRT,In 1952 alpine skier Duarte Espirito Santo became the first Portuguese athlete to compete at the Olympic Winter Games,1952,http://gtcdn.sochi2014.com/flag/large/por.png,Portugal,7,0,0,0,,,,,0
rep_of_moldova,MDA,"The Republic of Moldova first took part in the Olympic Winter Games as an independent nation in Lillehammer in 1994. Elena Gorohova appeared at four editions of the Olympic Winter Games [1994-2006], competing in biathlon and cross-country skiing.",1994,http://gtcdn.sochi2014.com/flag/large/mda.png,Rep. Of Moldova,6,0,0,0,,,,,0
romania,ROU,"Romania's sole medal success at the Olympic Winter Games remains the bronze medal won by Ion Panturu and Nicolae Neagoe in the men's two-man bobsleigh event in Grenoble in 1968. Four years later in Sapporo, Panturu teamed with Ion Zangor for a fifth-place finish.",1928,http://gtcdn.sochi2014.com/flag/large/rou.png,Romania,20,0,0,0,0.0,0.0,1.0,1.0,0
russian_fed,RUS,"Russia made its first appearance at the Olympic Winter Games after the disolution of the Soviet Union in Lillehammer in 1994, topping the medal tally with 23 medals - 11 gold, eight silver and four bronze.",1994,http://gtcdn.sochi2014.com/flag/large/rus.png,Russian Fed.,6,7,9,7,36.0,29.0,26.0,91.0,23
san_marino,SMR,"Cross-country skier Andrea Sammaritani competed at the Olympic Winter Games in 1984, 1988 and 1992. He shares the record for the most appearances by a San Marino athlete at the Olympic Winter Games with alpine skier Nicola Ercolani, who competed in 1988, 1992 and 1994.",1976,http://gtcdn.sochi2014.com/flag/large/smr.png,San Marino,9,0,0,0,,,,,0
serbia,SRB,"Serbia sent a team of 10 athletes across four sports for its Olympic Winter Games debut in Vancouver in 2010. Alpine skier Jelena Lolovic made her third Olympic appearance in Vancouver, having previously represented Serbia and Montenegro in 2002 and 2006.",2010,http://gtcdn.sochi2014.com/flag/large/srb.png,Serbia,2,0,0,0,,,,,0
